series_id,year,periodName,value,date
CUUR0000SAF113,2022,August,343.221,2022-08-01
CUUR0000SAF113,2022,July,341.839,2022-07-01
CUUR0000SAF113,2022,June,340.594,2022-06-01
CUUR0000SAF113,2022,May,341.594,2022-05-01
CUUR0000SAF113,2022,April,339.385,2022-04-01
CUUR0000SAF113,2022,March,337.503,2022-03-01
CUUR0000SAF113,2022,February,333.675,2022-02-01
CUUR0000SAF113,2022,January,327.451,2022-01-01
CUUR0000SAF113,2021,December,321.931,2021-12-01
CUUR0000SAF113,2021,November,318.436,2021-11-01
CUUR0000SAF113,2021,October,318.316,2021-10-01
CUUR0000SAF113,2021,September,315.428,2021-09-01
CUUR0000SAF113,2021,August,313.672,2021-08-01
CUUR0000SAF113,2021,July,312.875,2021-07-01
CUUR0000SAF113,2021,June,315.211,2021-06-01
CUUR0000SAF113,2021,May,315.748,2021-05-01
CUUR0000SAF113,2021,April,314.973,2021-04-01
CUUR0000SAF113,2021,March,311.168,2021-03-01
CUUR0000SAF113,2021,February,309.993,2021-02-01
CUUR0000SAF113,2021,January,309.954,2021-01-01
CUUR0000SAF113,2020,December,306.506,2020-12-01
CUUR0000SAF113,2020,November,306.311,2020-11-01
CUUR0000SAF113,2020,October,309.071,2020-10-01
CUUR0000SAF113,2020,September,306.249,2020-09-01
CUUR0000SAF113,2020,August,306.754,2020-08-01
CUUR0000SAF113,2020,July,306.123,2020-07-01
CUUR0000SAF113,2020,June,305.393,2020-06-01
CUUR0000SAF113,2020,May,306.798,2020-05-01
CUUR0000SAF113,2020,April,304.809,2020-04-01
CUUR0000SAF113,2020,March,299.641,2020-03-01
CUUR0000SAF113,2020,February,299.817,2020-02-01
CUUR0000SAF113,2020,January,301.679,2020-01-01
CUUR0000SAF113,2019,December,297.105,2019-12-01
CUUR0000SAF113,2019,November,297.472,2019-11-01
CUUR0000SAF113,2019,October,301.318,2019-10-01
CUUR0000SAF113,2019,September,297.309,2019-09-01
CUUR0000SAF113,2019,August,298.6,2019-08-01
CUUR0000SAF113,2019,July,299.35,2019-07-01
CUUR0000SAF113,2019,June,298.611,2019-06-01
CUUR0000SAF113,2019,May,302.352,2019-05-01
CUUR0000SAF113,2019,April,303.503,2019-04-01
CUUR0000SAF113,2019,March,305.399,2019-03-01
CUUR0000SAF113,2019,February,304.621,2019-02-01
CUUR0000SAF113,2019,January,304.605,2019-01-01
CUUR0000SAF113,2018,December,301.134,2018-12-01
CUUR0000SAF113,2018,November,296.362,2018-11-01
CUUR0000SAF113,2018,October,298.531,2018-10-01
CUUR0000SAF113,2018,September,298.432,2018-09-01
CUUR0000SAF113,2018,August,297.644,2018-08-01
CUUR0000SAF113,2018,July,297.632,2018-07-01
CUUR0000SAF113,2018,June,295.523,2018-06-01
CUUR0000SAF113,2018,May,297.211,2018-05-01
CUUR0000SAF113,2018,April,296.863,2018-04-01
CUUR0000SAF113,2018,March,293.87,2018-03-01
CUUR0000SAF113,2018,February,298.503,2018-02-01
CUUR0000SAF113,2018,January,301.814,2018-01-01
CUUR0000SAF113,2017,December,296.476,2017-12-01
CUUR0000SAF113,2017,November,296.791,2017-11-01
CUUR0000SAF113,2017,October,299.7,2017-10-01
CUUR0000SAF113,2017,September,297.047,2017-09-01
CUUR0000SAF113,2017,August,295.009,2017-08-01
CUUR0000SAF113,2017,July,294.935,2017-07-01
CUUR0000SAF113,2017,June,294.788,2017-06-01
CUUR0000SAF113,2017,May,298.47,2017-05-01
CUUR0000SAF113,2017,April,298.164,2017-04-01
CUUR0000SAF113,2017,March,292.932,2017-03-01
CUUR0000SAF113,2017,February,292.222,2017-02-01
CUUR0000SAF113,2017,January,291.679,2017-01-01
CUUR0000SAF113,2016,December,291.957,2016-12-01
CUUR0000SAF113,2016,November,293.554,2016-11-01
CUUR0000SAF113,2016,October,295.616,2016-10-01
CUUR0000SAF113,2016,September,293.423,2016-09-01
CUUR0000SAF113,2016,August,292.156,2016-08-01
CUUR0000SAF113,2016,July,291.96,2016-07-01
CUUR0000SAF113,2016,June,292.733,2016-06-01
CUUR0000SAF113,2016,May,295.974,2016-05-01
CUUR0000SAF113,2016,April,296.217,2016-04-01
CUUR0000SAF113,2016,March,298.162,2016-03-01
CUUR0000SAF113,2016,February,306.778,2016-02-01
CUUR0000SAF113,2016,January,306.796,2016-01-01
CUUR0000SAF114,2025,September,231.144,2025-09-01
CUUR0000SAF114,2025,August,229.406,2025-08-01
CUUR0000SAF114,2025,July,228.011,2025-07-01
CUUR0000SAF114,2025,June,229.103,2025-06-01
CUUR0000SAF114,2025,May,226.252,2025-05-01
CUUR0000SAF114,2025,April,227.738,2025-04-01
CUUR0000SAF114,2025,March,226.835,2025-03-01
CUUR0000SAF114,2025,February,225.51,2025-02-01
CUUR0000SAF114,2025,January,225.51,2025-01-01
CUUR0000SAF114,2024,December,220.762,2024-12-01
CUUR0000SAF114,2024,November,221.735,2024-11-01
CUUR0000SAF114,2024,October,220.672,2024-10-01
CUUR0000SAF114,2024,September,219.488,2024-09-01
CUUR0000SAF114,2024,August,219.381,2024-08-01
CUUR0000SAF114,2024,July,220.129,2024-07-01
CUUR0000SAF114,2024,June,219.373,2024-06-01
CUUR0000SAF114,2024,May,219.354,2024-05-01
CUUR0000SAF114,2024,April,220.712,2024-04-01
CUUR0000SAF114,2024,March,221.423,2024-03-01
CUUR0000SAF114,2024,February,220.956,2024-02-01
CUUR0000SAF114,2024,January,220.573,2024-01-01
CUUR0000SAF114,2023,December,215.872,2023-12-01
CUUR0000SAF114,2023,November,215.604,2023-11-01
CUUR0000SAF114,2023,October,216.952,2023-10-01
CUUR0000SAF114,2023,September,216.736,2023-09-01
CUUR0000SAF114,2023,August,216.642,2023-08-01
CUUR0000SAF114,2023,July,216.056,2023-07-01
CUUR0000SAF114,2023,June,216.146,2023-06-01
CUUR0000SAF114,2023,May,216.46,2023-05-01
CUUR0000SAF114,2023,April,215.833,2023-04-01
CUUR0000SAF114,2023,March,216.329,2023-03-01
CUUR0000SAF114,2023,February,215.925,2023-02-01
CUUR0000SAF114,2023,January,213.359,2023-01-01
CUUR0000SAF114,2022,December,210.324,2022-12-01
CUUR0000SAF114,2022,November,209.507,2022-11-01
CUUR0000SAF114,2022,October,210.121,2022-10-01
CUUR0000SAF114,2022,September,208.332,2022-09-01
CUUR0000SAF114,2022,August,206.693,2022-08-01
CUUR0000SAF114,2022,July,204.944,2022-07-01
CUUR0000SAF114,2022,June,200.876,2022-06-01
CUUR0000SAF114,2022,May,199.166,2022-05-01
CUUR0000SAF114,2022,April,197.138,2022-04-01
CUUR0000SAF114,2022,March,194.342,2022-03-01
CUUR0000SAF114,2022,February,192.21,2022-02-01
CUUR0000SAF114,2022,January,188.719,2022-01-01
CUUR0000SAF114,2021,December,186.723,2021-12-01
